name,symbol,token_id,price,market_cap,volume_24h,change_24h,total_supply,icon
dKargo,DKA,370,0.02245518201879329,96800547.14519635,11438543.36250959,-1.97232352,4310833333.0,https://s2.coinmarketcap.com/static/img/coins/64x64/5908.png
Sleepless AI,AI,371,0.42294848164313825,96617293.7753544,13386651.79910648,10.78249361,228437500.0,https://s2.coinmarketcap.com/static/img/coins/64x64/28846.png
First Neiro On Ethereum,NEIRO,85,0.0018128828121894108,762611652.5401748,588937428.1508362,11.66963961,420662409843.895,https://s2.coinmarketcap.com/static/img/coins/64x64/32521.png
Celer Network,CELR,373,0.012334319120018407,95756550.39967339,1989810.57003751,6.80641506,7763424106.9912,https://s2.coinmarketcap.com/static/img/coins/64x64/3814.png
Propy,PRO,374,0.9472485568254785,94724855.68254785,2192254.06034317,1.306534,100000000.0,https://s2.coinmarketcap.com/static/img/coins/64x64/1974.png
Orbs,ORBS,375,0.02981413914887469,94442855.56765114,22526770.17588489,-1.75812267,3167720358.99,https://s2.coinmarketcap.com/static/img/coins/64x64/3835.png
Synapse,SYN,377,0.5046499912561394,94177274.69947332,14532597.66178735,15.7107801,186618995.9996905,https://s2.coinmarketcap.com/static/img/coins/64x64/12147.png
Bone ShibaSwap,BONE,376,0.41000999337491156,94270871.46562457,3281873.71005234,5.55766634,229923350.6228802,https://s2.coinmarketcap.com/static/img/coins/64x64/11865.png
Status,SNT,379,0.024011478451959094,93792046.5370542,4943786.74682633,4.46748851,3906133757.0157704,https://s2.coinmarketcap.com/static/img/coins/64x64/1759.png
Mines of Dalarnia,DAR,378,0.15109311035977105,93817232.4518045,26281204.12932142,10.59294785,620923298.411253,https://s2.coinmarketcap.com/static/img/coins/64x64/11374.png
UXLINK,UXLINK,380,0.5512690356838725,93715736.06625833,93167852.78613833,7.49281093,170000000.0,https://s2.coinmarketcap.com/static/img/coins/64x64/32257.png
Tron Bull,BULL,385,0.09671391950112292,91904865.50289959,3812701.32198964,16.7619015,950275472.0,https://s2.coinmarketcap.com/static/img/coins/64x64/32832.png
ANyONe Protocol,ANYONE,381,1.0102916296673972,92848481.71632649,798658.49512651,11.35469388,91902653.63961649,https://s2.coinmarketcap.com/static/img/coins/64x64/32037.png
MVL,MVL,382,0.003620804878331215,92522278.10731895,2655809.30416791,1.61546132,25552958863.102654,https://s2.coinmarketcap.com/static/img/coins/64x64/2982.png
Portal,PORTAL,383,0.2849064824124122,92243787.95154686,10145861.62334777,10.89217429,323768652.68379796,https://s2.coinmarketcap.com/static/img/coins/64x64/29555.png
Rootstock Infrastructure Framework,RIF,384,0.09205524953650922,92055249.53650922,1604908.4084354,7.43918711,1000000000.0,https://s2.coinmarketcap.com/static/img/coins/64x64/3701.png
Treasure,MAGIC,386,0.3430964588281079,91812184.39775881,8118721.5367607,7.31273662,267598752.58216208,https://s2.coinmarketcap.com/static/img/coins/64x64/14783.png
Symbol,XYM,388,0.014978650943218812,91253124.97354569,147411.81866239,2.22008064,6092212530.986185,https://s2.coinmarketcap.com/static/img/coins/64x64/8677.png
AI Analysis Token,AIAT,387,0.6246644632660757,91444294.89245771,392069.55830677,-3.37862778,146389462.2952275,https://s2.coinmarketcap.com/static/img/coins/64x64/28688.png
Gems,GEMS,389,0.2279521113485794,91165169.8683991,6632961.05373407,25.90893986,399931237.0,https://s2.coinmarketcap.com/static/img/coins/64x64/31750.png
UPCX,UPC,390,1.876773553758702,91054369.26239257,2028679.45920794,0.29795039,48516438.8,https://s2.coinmarketcap.com/static/img/coins/64x64/28654.png
BitMart Token,BMX,392,0.2782543307241279,90232764.01617683,445713.05506407,0.28355661,324281615.96391135,https://s2.coinmarketcap.com/static/img/coins/64x64/2933.png
Dusk,DUSK,391,0.19504002619481683,90562505.55651762,7796005.45662196,2.05326998,464327796.31632507,https://s2.coinmarketcap.com/static/img/coins/64x64/4092.png
Highstreet,HIGH,395,1.3037604790266042,89107727.05015297,7725293.31600172,4.80832408,68346700.55091819,https://s2.coinmarketcap.com/static/img/coins/64x64/11232.png
Bounce Token,AUCTION,394,13.521599448271951,89108111.0952807,10762458.0886262,4.31147172,6590057.0,https://s2.coinmarketcap.com/static/img/coins/64x64/8602.png
DODO,DODO,396,0.12276505279983889,89091016.75205058,7977955.06015413,9.95246795,725703404.35,https://s2.coinmarketcap.com/static/img/coins/64x64/7224.png
Daddy Tate,DADDY,397,0.14812696073569212,88830009.56712167,8226614.51222495,7.19238657,599688329.024883,https://s2.coinmarketcap.com/static/img/coins/64x64/31830.png
