post_id,token_symbol,content,user_id,created_at,retweets,replies,likes,conversation_id,in_reply_to_user_id,source,geo,entities,username,sentiment,score
1843703021647344024,LNQ,Dont fade $LNQ 📸 https://t.co/zdGCYPGQ3w,972970759416111104,2024-10-08T17:20:29+00:00,58,92,339,1843703021647344024,,,,"{""annotations"": [{""start"": 11, ""end"": 13, ""probability"": 0.4585, ""type"": ""Organization"", ""normalized_text"": ""LNQ""}], ""urls"": [{""start"": 17, ""end"": 40, ""url"": ""https://t.co/zdGCYPGQ3w"", ""expanded_url"": ""https://twitter.com/CryptoGemRnld/status/1843691156263321912"", ""display_url"": ""x.com/CryptoGemRnld/\u2026""}], ""cashtags"": [{""start"": 10, ""end"": 14, ""tag"": ""LNQ""}]}",CryptoWizardd,Positive,0.031170049006730885
1843700575344701609,ANYONE,"$ANYONE dashboard and relay rewards are now live. Their network is already almost the size of Tor. Thats actually really big !
 
ANYONE is one of wizz fav picks for this run. https://t.co/ceTUrCsilv",972970759416111104,2024-10-08T17:10:46+00:00,85,59,429,1843700575344701609,,,,"{""annotations"": [{""start"": 94, ""end"": 96, ""probability"": 0.3554, ""type"": ""Organization"", ""normalized_text"": ""Tor""}], ""urls"": [{""start"": 175, ""end"": 198, ""url"": ""https://t.co/ceTUrCsilv"", ""expanded_url"": ""https://twitter.com/AnyoneFDN/status/1843328699422355638"", ""display_url"": ""x.com/AnyoneFDN/stat\u2026""}], ""cashtags"": [{""start"": 0, ""end"": 7, ""tag"": ""ANYONE""}]}",CryptoWizardd,Positive,0.03976912889235582
1843697209445114094,,@IncomeSharks,972970759416111104,2024-10-08T16:57:23+00:00,16,23,138,1843697164008206528,9.729707594161112e+17,,,"{""mentions"": [{""start"": 0, ""end"": 13, ""username"": ""IncomeSharks"", ""id"": ""4441279246""}]}",CryptoWizardd,Positive,0.012476253731114788
1843697164008206528,M87,"#M87 already broke ath.

Keeps delivering https://t.co/jdAftS3YY6",972970759416111104,2024-10-08T16:57:12+00:00,55,76,310,1843697164008206528,,,,"{""hashtags"": [{""start"": 0, ""end"": 4, ""tag"": ""M87""}], ""annotations"": [{""start"": 1, ""end"": 3, ""probability"": 0.5025, ""type"": ""Other"", ""normalized_text"": ""M87""}], ""urls"": [{""start"": 42, ""end"": 65, ""url"": ""https://t.co/jdAftS3YY6"", ""expanded_url"": ""https://twitter.com/MessierM87/status/1843663016341950972"", ""display_url"": ""x.com/MessierM87/sta\u2026""}]}",CryptoWizardd,Positive,0.028558341145934453
1843695975975792825,OGLG,"RT @OGLong_official: 🔥 $OGLG is now live on Solana! Swap seamlessly on-chain, find CA in the tweet! 

As pioneers in the BTCFi space, we're…",972970759416111104,2024-10-08T16:52:29+00:00,33,0,0,1843695975975792825,,,,"{""annotations"": [{""start"": 24, ""end"": 27, ""probability"": 0.4366, ""type"": ""Organization"", ""normalized_text"": ""OGLG""}, {""start"": 44, ""end"": 49, ""probability"": 0.5042, ""type"": ""Other"", ""normalized_text"": ""Solana""}, {""start"": 121, ""end"": 125, ""probability"": 0.6356, ""type"": ""Other"", ""normalized_text"": ""BTCFi""}], ""mentions"": [{""start"": 3, ""end"": 19, ""username"": ""OGLong_official"", ""id"": ""1738273160816963584""}], ""cashtags"": [{""start"": 23, ""end"": 28, ""tag"": ""OGLG""}]}",CryptoWizardd,Positive,0.0009211444521981856
1843695967167820070,,@OGLong_official 🔥,972970759416111104,2024-10-08T16:52:27+00:00,0,2,12,1843693760665817557,1.7382731608169636e+18,,,"{""mentions"": [{""start"": 0, ""end"": 16, ""username"": ""OGLong_official"", ""id"": ""1738273160816963584""}]}",CryptoWizardd,Positive,0.0010460554990556444
1843695702297457019,ANYONEHELPSEVERYONE,"RT @AnyoneFDN: One small step for Atornauts
One giant leap for ANYONE

#AnyoneHelpsEveryone https://t.co/mAR5l43eVv",972970759416111104,2024-10-08T16:51:24+00:00,17,0,0,1843695702297457019,,,,"{""hashtags"": [{""start"": 71, ""end"": 91, ""tag"": ""AnyoneHelpsEveryone""}], ""annotations"": [{""start"": 34, ""end"": 42, ""probability"": 0.5393, ""type"": ""Other"", ""normalized_text"": ""Atornauts""}], ""mentions"": [{""start"": 3, ""end"": 13, ""username"": ""AnyoneFDN"", ""id"": ""1626376419268784130""}], ""urls"": [{""start"": 92, ""end"": 115, ""url"": ""https://t.co/mAR5l43eVv"", ""expanded_url"": ""https://x.com/AnyoneFDN/status/1843694588818784446/video/1"", ""display_url"": ""pic.x.com/mAR5l43eVv"", ""media_key"": ""7_1843693752851824640""}]}",CryptoWizardd,Positive,0.00047452896022330776
1843685000325087384,INJ,Say no more $INJ https://t.co/LHwWCNQKyB,972970759416111104,2024-10-08T16:08:52+00:00,151,90,1286,1843685000325087384,,,,"{""annotations"": [{""start"": 13, ""end"": 15, ""probability"": 0.6601, ""type"": ""Organization"", ""normalized_text"": ""INJ""}], ""urls"": [{""start"": 17, ""end"": 40, ""url"": ""https://t.co/LHwWCNQKyB"", ""expanded_url"": ""https://twitter.com/solidintel_x/status/1843659064674529478"", ""display_url"": ""x.com/solidintel_x/s\u2026""}], ""cashtags"": [{""start"": 12, ""end"": 16, ""tag"": ""INJ""}]}",CryptoWizardd,Positive,0.1163172146876428
1843662737601442273,,"Bull or bear. We build.

🚀 https://t.co/XvXMnAs7cc",972970759416111104,2024-10-08T14:40:24+00:00,94,324,2373,1843662737601442273,,,,"{""urls"": [{""start"": 27, ""end"": 50, ""url"": ""https://t.co/XvXMnAs7cc"", ""expanded_url"": ""https://x.com/CryptoWizardd/status/1843662737601442273/photo/1"", ""display_url"": ""pic.x.com/XvXMnAs7cc"", ""media_key"": ""3_1843662721075515392""}, {""start"": 27, ""end"": 50, ""url"": ""https://t.co/XvXMnAs7cc"", ""expanded_url"": ""https://x.com/CryptoWizardd/status/1843662737601442273/photo/1"", ""display_url"": ""pic.x.com/XvXMnAs7cc"", ""media_key"": ""3_1843662721159479296""}]}",CryptoWizardd,Positive,0.20948134095360607
1843661984002453627,,@ClearpoolFin @Hex_Trust 🔥,972970759416111104,2024-10-08T14:37:25+00:00,0,3,24,1843653143831425246,1.4333185972715725e+18,,,"{""mentions"": [{""start"": 0, ""end"": 13, ""username"": ""ClearpoolFin"", ""id"": ""1433318597271572488""}, {""start"": 14, ""end"": 24, ""username"": ""Hex_Trust"", ""id"": ""1014482303131635712""}]}",CryptoWizardd,Positive,0.002092110998111289
